reporterId	systematicName	geneSymbol	M	A	pvalue
SCAB000046	YAL019W	FUN30	0.17827483	11.00236	0.0892305
SCAB000047	YAL020C	ATS1	0.054306714	9.6744451	0.629518
SCAB000048	YAL021C	CCR4	0.094263099	9.8890474	0.515957
SCAB000049	YAL022C	FUN26	-0.032399018	10.513193	0.813971
SCAB000050	YAL023C	PMT2	0.039124353	9.3083713	0.74817
SCAB000051	YAL024C	LTE1	0.012926174	8.8525462	0.947293
SCAB000052	YAL025C	MAK16	0.1863611	11.799583	0.129664
SCAB000053	YAL026C	DRS2	-0.021681344	11.225506	0.91243
SCAB000054	YAL027W	SAW1	0.095883923	8.5787228	0.33779
SCAB000055	YAL028W	FRT2	-0.12696327	8.3694749	0.308577
SCAB000056	YAL029C	MYO4	-0.090272971	10.573735	0.425552
SCAB000057	YAL030W	SNC1	-0.065027645	11.272327	0.632291
SCAB000058	YAL031C	GIP4	-0.14324373	9.3624551	0.111159
SCAB000059	YAL032C	PRP45	-0.037539818	8.9146941	0.798035
SCAB000060	YAL033W	POP5	-0.022372772	10.747612	0.903876
SCAB000061	YAL034C	FUN19	0.093884645	8.8049609	0.378875
SCAB000062	YAL034W-A	MTW1	-0.066305002	6.7468152	0.519266
SCAB000063	YAL034C-B	YAL034C-B	0.012125249	6.1699904	0.937488
SCAB000064	YAL035W	FUN12	-0.039718131	11.972783	0.767178
SCAB000065	YAL036C	RBG1	0.0096768116	11.609952	0.956868
SCAB000066	YAL037W	YAL037W	0.12596843	7.2622066	0.230823
SCAB000067	YAL038W	CDC19	0.063489137	14.472461	0.778998
SCAB000068	YAL039C	CYC3	0.098581256	9.1174204	0.388594
SCAB000069	YAL040C	CLN3	0.069289713	9.5844071	0.671703
SCAB000070	YAL041W	CDC24	-0.094904849	10.037951	0.370224
SCAB000071	YAL042W	ERV46	-0.047231081	11.584412	0.643225
SCAB000072	YAL043C	PTA1	0.038183302	9.2789412	0.767747
SCAB000073	YAL042C-A	YAL042C-A	-0.028921126	6.0684843	0.878568
SCAB000074	YAL044C	GCV3	0.21608852	9.214174	0.0641042
SCAB000075	YAL044W-A	YAL044W-A	0.14496	11.027172	0.126905
SCAB000076	YAL045C	YAL045C	-0.043931449	6.4750382	0.735868
SCAB000077	YAL046C	AIM1	0.12043157	10.055686	0.289753
